Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
000210,Kaazumi,Veemarkt 207,207,,1019DA,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
000211,Bar Italia,Rokin 81-83,81,,1012KL,Amsterdam,020-Centrum,,,,,,,,,,5
000212,Ginistry,Daniel Stalpertstraat 5 II,5,II,1072VZ,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000213,Entree,Emmastraat 61,61,,1213AK,Hilversum,Hilversum,,,,,,,,,,
000215,NJOY,Korte Leidsedwarsstraat 93,93,,1017PX,Amsterdam,020-Centrum-Zuid,,11:30,✔️,,"Parkeren voor 12:00 op Leidseplein, order bij leveren altijd dubbel checken of het match met pakbon",,,,,3
000216,Bar/Restaurant Herengracht,Herengracht 435,435,,1017BR,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000217,Hotel de Hallen,Bellamyplein 47,47,,1053AT,Amsterdam,020-West,,,,,,,,,,4
000219,Hendriks Expeditie,Latexweg 10,10,,1047BJ,Amsterdam,,,,,,,,,,,
000221,&samhoud Places B.V.,Postbus 14095,14095,,3508SC,Utrecht,Utrecht,,,,,,,,,,
000222,Westergasterras,Klonneplein 4-6,4,,1014DD,Amsterdam,020-West,,,,,,,,,,4
000225,Kasper aan Zee,Stationsplein 15 F 10,15,F10,2041AA,Zandvoort,Zandvoort,,,,,,,,,,
000226,Victoria Hotel C.V.,Damrak 1-5,1,5,1012LG,Amsterdam,020-Centrum,,,,,,,,,,5
000227,IWW,Zuidstraat 9,9,,4527CE,Aardenburg,Aardenburg,,,,,,,,,,
000229,Momo's Park Hotel,Hobbemastraat 1,1,,1071XZ,Amsterdam,020-Zuid,,,,,,,,,,3
000230,Caipiration,Kopspoor 81,81,,2908BB,Capelle Aan De Ijssel,Capelle Aan De Ijssel,,,,,,,,,,
000232,Mass Events,Madurastraat 20a,20,A,1094GM,Amsterdam,020-Oost,,,,,,,,,,2
000234,Wicked Wines,Bazarstraat 42,42,,2518AK,Den Haag,Den Haag,,,,,,,,,,
000235,Yolo Restaurant,Admiraliteitskade 17b,17,B,3063EJ,Rotterdam,Rotterdam,,,,,,,,,,
000236,Van Bleiswijk,Westerstraat 84-86,84,,1601AL,Enkhuizen,Enkhuizen,,,,,,,,,,
000237,Rex,Groest 23,23,,1211CZ,Hilversum,Hilversum,,,,,,,,,,
000238,NELEOS Legal Services,Postbus 10755,10755,,1001ET,Amsterdam,Postbus,,,,,,,,,,
000239,Heads and Tails,Van Eysingalaan 36,36,,3527VL,Utrecht,Utrecht,,,,,,,,,,
000240,Artisanal Cuisine,Jansveld 17,17,,3512BD,Utrecht,Utrecht,,,,,,,,,,
000241,Golden Brown Bar,Jan Pieter Heijestraat 146,146,,1054WT,Amsterdam,020-West,,,,,,,,,,4
000243,EMMER'S GROOTHANDEL B.V. HANOS Haarlem,Nijverheidsweg 27c,27,C,2031CN,Haarlem,Haarlem,,,,,,,,,,
000244,Copperhead Gin Netherlands,Prinsengracht 701,701,,1017JV,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000245,CBRE BV,Postbus 7971,7971,,1008AD,Amsterdam,Postbus,,,,,,,,,,
000246,Backbone B.V. - Volkshotel F&B,Wibautstraat 150,150,,1091GR,Amsterdam,020-Oost,,,,,,,,,,2
000247,Bacardi Nederland,Postbus 295,295,,2800AG,Gouda,Gouda,,,,,,,,,,
000248,Restaurant Brasilbinkie,Otto Reuchlinweg 1162,1162,,3072MD,Rotterdam,Rotterdam,,,,,,,,,,
000249,Foodhallen Amsterdam B.V.,Hannie Dankbaar Passage 16,16,,1053RT,Amsterdam,020-West,,,,,,,,,,4
000250,Brasserie van Beinum,Klokhuisplein 3,3,,2011HK,Haarlem,Haarlem,,,,,,,,,,
000251,Mulligans,Amstel 100,100,,1017AC,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000252,Halte 3 B.V. - Kanarie Club,Hannie Dankbaarpassage 16,16,,1053RT,Amsterdam,020-West,,,,,,,,,,4
000253,TwentyThree Amsterdam,Kerkstraat 23,23,,1017GA,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
